iter	Accuracy	Logloss
0	0.8387824126	0.6491631217
1	0.8590755355	0.6108171279
2	0.8647125141	0.5772555923
3	0.8602029312	0.5494283263
4	0.8590755355	0.5249610735
5	0.8602029312	0.5026128747
6	0.8602029312	0.4845121523
7	0.8658399098	0.4673773158
8	0.8635851184	0.4540074698
9	0.8680947012	0.4392971089
10	0.869222097	0.425842647
11	0.869222097	0.414276329
12	0.8714768884	0.4052602225
13	0.8726042841	0.3957457973
14	0.8737316798	0.3876881439
15	0.877113867	0.380874784
16	0.8759864713	0.3756196139
17	0.877113867	0.3691296526
18	0.8816234498	0.3638939106
19	0.8816234498	0.3588423494
20	0.8804960541	0.3554453859
21	0.8804960541	0.3503740784
22	0.8827508455	0.3469266568
23	0.8838782413	0.3430338163
24	0.8838782413	0.338479132
25	0.8861330327	0.3356712137
26	0.8861330327	0.3321667361
27	0.8895152198	0.3288713955
28	0.8895152198	0.3259488825
29	0.8917700113	0.3231258224
30	0.8917700113	0.3200743232
31	0.8917700113	0.3165913399
32	0.8917700113	0.314320696
33	0.8940248027	0.3127102187
34	0.8940248027	0.3102468706
35	0.8917700113	0.3076987313
36	0.892897407	0.3057001953
37	0.8917700113	0.3044911576
38	0.892897407	0.3019594244
39	0.8951521984	0.3000922137
40	0.8951521984	0.2983322093
41	0.8985343856	0.2965026833
42	0.8974069899	0.2943695841
43	0.8974069899	0.2930015341
44	0.8985343856	0.291203745
45	0.8996617813	0.2891662478
46	0.9019165727	0.2879817728
47	0.9019165727	0.2869706573
48	0.9030439684	0.2855618367
49	0.9019165727	0.2844006325
50	0.900789177	0.2834393323
51	0.9041713641	0.282354162
52	0.9041713641	0.2822842144
53	0.9064261556	0.2808301337
54	0.9075535513	0.2792734003
55	0.9075535513	0.2787717521
56	0.9075535513	0.2778965189
57	0.9041713641	0.2770934576
58	0.9064261556	0.2762170216
59	0.9075535513	0.275397618
60	0.9098083427	0.2743739625
61	0.9098083427	0.2734903695
62	0.9098083427	0.273070008
63	0.9098083427	0.2719141136
64	0.908680947	0.2718205344
65	0.908680947	0.2714958795
66	0.9075535513	0.2705593679
67	0.9075535513	0.270372073
68	0.908680947	0.2697294747
69	0.9098083427	0.2693322061
70	0.9098083427	0.2685435696
71	0.9109357384	0.2678701336
72	0.9120631342	0.2674505872
73	0.9120631342	0.2673936599
74	0.9098083427	0.2669671255
75	0.908680947	0.2665721548
76	0.9098083427	0.2658389598
77	0.908680947	0.2656783528
78	0.9098083427	0.2656189299
79	0.908680947	0.2655680582
80	0.9098083427	0.2642883782
81	0.9098083427	0.2642160529
82	0.9131905299	0.2622946029
83	0.9131905299	0.2622118094
84	0.9131905299	0.2621167464
85	0.9131905299	0.2619710983
86	0.9131905299	0.2614919126
87	0.9131905299	0.2613470797
88	0.9131905299	0.2612711713
89	0.9131905299	0.2612299729
90	0.9131905299	0.2609090702
91	0.9131905299	0.2606599033
92	0.9131905299	0.2605824354
93	0.9131905299	0.2603749986
94	0.9131905299	0.260326089
95	0.9131905299	0.2602652307
96	0.9131905299	0.2597490962
97	0.9131905299	0.2595810844
98	0.9131905299	0.2589776905
99	0.9120631342	0.2585836636
