iter	Passed	Remaining
0	1	135
1	2	124
2	3	120
3	4	113
4	6	117
5	7	114
6	8	111
7	9	108
8	10	108
9	11	106
10	12	104
11	14	105
12	15	102
13	16	100
14	17	97
15	18	95
16	19	93
17	20	92
18	21	90
19	22	88
20	22	85
21	23	83
22	24	82
23	25	81
24	26	79
25	27	78
26	28	76
27	29	75
28	30	74
29	31	73
30	32	71
31	33	70
32	34	69
33	35	68
34	36	66
35	37	65
36	37	64
37	38	63
38	39	62
39	40	61
40	41	60
41	42	59
42	43	58
43	44	56
44	45	55
45	46	54
46	47	53
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	46
55	57	45
56	58	44
57	59	42
58	60	41
59	61	40
60	62	39
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	70	30
70	71	29
71	72	28
72	73	27
73	74	26
74	75	25
75	77	24
76	78	23
77	79	22
78	80	21
79	81	20
80	82	19
81	83	18
82	85	17
83	86	16
84	87	15
85	88	14
86	90	13
87	91	12
88	92	11
89	92	10
90	94	9
91	95	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	103	1
99	104	0
