iter	RMSE
0	157981.5664
1	149877.4003
2	142116.1916
3	135307.1795
4	129185.4431
5	123124.4113
6	117690.8835
7	112308.383
8	107782.4116
9	103138.7831
10	99066.48764
11	95381.75216
12	92136.51115
13	89092.52541
14	86481.35486
15	84156.99841
16	81723.32631
17	79663.42392
18	78050.33932
19	76517.55298
20	74677.7425
21	73206.11311
22	71854.92773
23	70823.32075
24	69680.53769
25	68598.1096
26	67744.97112
27	67071.7765
28	66457.60557
29	65665.1499
30	64933.76959
31	64279.07065
32	63582.82995
33	63099.60633
34	62699.26191
35	62277.61104
36	62008.71517
37	61659.57732
38	61229.25926
39	61075.51334
40	60836.21256
41	60562.45648
42	60352.33706
43	60131.39293
44	59956.46996
45	59742.66524
46	59476.76745
47	59290.9214
48	59069.67673
49	58913.51997
50	58769.61539
51	58632.6646
52	58495.58172
53	58385.10481
54	58211.46149
55	58111.90527
56	58013.13517
57	57893.79735
58	57755.49387
59	57601.31539
60	57553.69656
61	57383.76648
62	57249.29664
63	57152.44257
64	57008.94176
65	56925.28706
66	56866.47318
67	56780.28566
68	56596.53164
69	56453.13152
70	56295.54475
71	56190.72553
72	56005.48549
73	55879.39417
74	55819.6715
75	55687.60576
76	55615.29863
77	55475.66938
78	55408.41998
79	55248.90892
80	55095.87276
81	55034.12361
82	54998.13142
83	54930.17084
84	54875.67307
85	54807.87891
86	54741.31023
87	54598.99063
88	54494.16031
89	54425.12183
90	54320.67056
91	54243.3076
92	54181.78786
93	54131.69839
94	54054.02204
95	53995.24831
96	53903.89855
97	53808.5986
98	53738.92382
99	53650.86538
