iter	Passed	Remaining
0	1	135
1	2	136
2	4	132
3	5	124
4	6	122
5	7	119
6	8	117
7	10	115
8	11	113
9	12	111
10	13	108
11	14	108
12	15	107
13	17	105
14	18	102
15	19	101
16	20	100
17	21	98
18	22	97
19	23	95
20	25	94
21	26	93
22	27	92
23	28	90
24	29	89
25	30	87
26	32	86
27	33	85
28	34	83
29	35	82
30	36	81
31	37	80
32	38	78
33	39	77
34	41	76
35	42	74
36	43	73
37	44	72
38	45	71
39	46	69
40	47	67
41	48	66
42	49	65
43	50	64
44	51	63
45	52	62
46	54	61
47	55	59
48	56	58
49	57	57
50	58	56
51	59	55
52	61	54
53	62	52
54	63	51
55	64	50
56	65	49
57	67	48
58	68	47
59	69	46
60	70	45
61	72	44
62	73	43
63	74	41
64	75	40
65	76	39
66	77	38
67	78	37
68	80	35
69	81	34
70	82	33
71	83	32
72	84	31
73	85	30
74	86	28
75	88	27
76	89	26
77	90	25
78	91	24
79	92	23
80	93	22
81	95	20
82	96	19
83	97	18
84	98	17
85	99	16
86	100	15
87	102	13
88	103	12
89	104	11
90	105	10
91	107	9
92	108	8
93	109	6
94	110	5
95	111	4
96	113	3
97	114	2
98	115	1
99	116	0
